ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
7,"$40,000 to $49,999",2015,"2015",34349,2699,"California","04000US06","california",0.004970319743393804
18,"$250,000 to $299,999",2015,"2015",470560,9366,"California","04000US06","california",0.06809029836243817
25,"$2,000,000 or More",2015,"2015",555865,8576,"United States","01000US","united-states",0.007460623039231792
14,"$125,000 to $149,999",2015,"2015",5344324,37990,"United States","01000US","united-states",0.07172962277444957
19,"$300,000 to $399,999",2015,"2015",8274205,47076,"United States","01000US","united-states",0.11105344724767145
19,"$300,000 to $399,999",2015,"2015",1046936,15923.999999999998,"California","04000US06","california",0.15149223182246166
8,"$50,000 to $59,999",2015,"2015",36708,2534,"California","04000US06","california",0.005311668378715531
3,"$20,000 to $24,999",2015,"2015",553744,12543,"United States","01000US","united-states",0.007432155728884476
8,"$50,000 to $59,999",2015,"2015",1614674,18987,"United States","01000US","united-states",0.021671582210156342
20,"$400,000 to $499,999",2015,"2015",929748,12982,"California","04000US06","california",0.1345350618877086
11,"$80,000 to $89,999",2015,"2015",2564686,22702,"United States","01000US","united-states",0.03442230660321342
9,"$60,000 to $69,999",2015,"2015",34984,2408,"California","04000US06","california",0.0050622046028381855
20,"$400,000 to $499,999",2015,"2015",4649695,31096,"United States","01000US","united-states",0.06240655850323526
21,"$500,000 to $749,999",2015,"2015",1454875,15150,"California","04000US06","california",0.21052123603802325
15,"$150,000 to $174,999",2015,"2015",6487224,41429,"United States","01000US","united-states",0.08706922154670185
1,"$10,000 to $14,999",2015,"2015",22885,2623,"California","04000US06","california",0.0033114724541490935
10,"$70,000 to $79,999",2015,"2015",35196,2493,"California","04000US06","california",0.005092881122841664
22,"$750,000 to $999,999",2015,"2015",713400,10603,"California","04000US06","california",0.10322938382302657
6,"$35,000 to $39,999",2015,"2015",485347,9623,"United States","01000US","united-states",0.00651415543382302
1,"$10,000 to $14,999",2015,"2015",560168,11116,"United States","01000US","united-states",0.007518376380308878
21,"$500,000 to $749,999",2015,"2015",5243219,33833,"United States","01000US","united-states",0.07037262729464507
23,"$1,000,000 to $1,499,999",2015,"2015",438019,9691,"California","04000US06","california",0.06338159724247025
11,"$80,000 to $89,999",2015,"2015",46187,2817,"California","04000US06","california",0.006683285044342765
2,"$15,000 to $19,999",2015,"2015",18635,1969.9999999999998,"California","04000US06","california",0.00269649504841898
0,"Less Than $10,000",2015,"2015",1045716,13633,"United States","01000US","united-states",0.014035229564900314
24,"$1,500,000 to $1,999,999",2015,"2015",162975,4405,"California","04000US06","california",0.023582574752674175
16,"$175,000 to $199,999",2015,"2015",4540023,35851,"United States","01000US","united-states",0.06093457978545553
12,"$90,000 to $99,999",2015,"2015",41705,2681,"California","04000US06","california",0.00603473710728809
12,"$90,000 to $99,999",2015,"2015",2218228,25423,"United States","01000US","united-states",0.02977227010707467
25,"$2,000,000 or More",2015,"2015",212757,5642,"California","04000US06","california",0.03078605833198159
3,"$20,000 to $24,999",2015,"2015",20569,1972,"California","04000US06","california",0.002976345943167695
22,"$750,000 to $999,999",2015,"2015",2012603,17766,"United States","01000US","united-states",0.027012444227693815
0,"Less Than $10,000",2015,"2015",58864,3813.9999999999995,"California","04000US06","california",0.008517654120211153
