Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2000,Annual,Calaveras County,Not Adj,Not Prelim,18160,17150,1010,0.056
1999,Annual,Calaveras County,Not Adj,Not Prelim,14460,13450,1010,0.070
1998,Annual,Calaveras County,Not Adj,Not Prelim,14120,12870,1250,0.088
1997,Annual,Calaveras County,Not Adj,Not Prelim,14030,12760,1270,0.091
1996,Annual,Calaveras County,Not Adj,Not Prelim,14070,12760,1310,0.093
1995,Annual,Calaveras County,Not Adj,Not Prelim,14090,12540,1550,0.110
1994,Annual,Calaveras County,Not Adj,Not Prelim,14630,13000,1640,0.112
1993,Annual,Calaveras County,Not Adj,Not Prelim,14950,13140,1800,0.121
1992,Annual,Calaveras County,Not Adj,Not Prelim,15030,13230,1800,0.119
1991,Annual,Calaveras County,Not Adj,Not Prelim,13960,12670,1290,0.093
1990,Annual,Calaveras County,Not Adj,Not Prelim,13450,12530,920,0.068
2019,Annual,Colusa County,Not Adj,Prelim,10990,9590,1410,0.128
2018,Annual,Colusa County,Not Adj,Not Prelim,10860,9420,1440,0.133
2017,Annual,Colusa County,Not Adj,Not Prelim,10820,9280,1540,0.142
2016,Annual,Colusa County,Not Adj,Not Prelim,10900,9210,1700,0.156
2015,Annual,Colusa County,Not Adj,Not Prelim,11040,9340,1700,0.154
2014,Annual,Colusa County,Not Adj,Not Prelim,11090,9160,1930,0.174
2013,Annual,Colusa County,Not Adj,Not Prelim,11290,9160,2140,0.189
2012,Annual,Colusa County,Not Adj,Not Prelim,11270,8940,2340,0.207
2011,Annual,Colusa County,Not Adj,Not Prelim,11380,8960,2420,0.212
2010,Annual,Colusa County,Not Adj,Not Prelim,11520,9120,2400,0.208
2009,Annual,Colusa County,Not Adj,Not Prelim,11520,9490,2030,0.176
2008,Annual,Colusa County,Not Adj,Not Prelim,10500,9040,1450,0.138
2007,Annual,Colusa County,Not Adj,Not Prelim,10220,9020,1200,0.118
2006,Annual,Colusa County,Not Adj,Not Prelim,9910,8700,1210,0.122
2005,Annual,Colusa County,Not Adj,Not Prelim,9880,8630,1250,0.127
2004,Annual,Colusa County,Not Adj,Not Prelim,9510,8220,1300,0.136
2003,Annual,Colusa County,Not Adj,Not Prelim,9430,8090,1350,0.143
2002,Annual,Colusa County,Not Adj,Not Prelim,9400,8100,1290,0.138
2001,Annual,Colusa County,Not Adj,Not Prelim,9120,7950,1170,0.128
2000,Annual,Colusa County,Not Adj,Not Prelim,9270,8200,1070,0.116
1999,Annual,Colusa County,Not Adj,Not Prelim,8720,7320,1390,0.160
1998,Annual,Colusa County,Not Adj,Not Prelim,8830,7050,1780,0.201
1997,Annual,Colusa County,Not Adj,Not Prelim,9090,7370,1720,0.189
1996,Annual,Colusa County,Not Adj,Not Prelim,8600,6890,1710,0.198
1995,Annual,Colusa County,Not Adj,Not Prelim,8550,6860,1680,0.197
1994,Annual,Colusa County,Not Adj,Not Prelim,8190,6640,1560,0.190
1993,Annual,Colusa County,Not Adj,Not Prelim,8470,6640,1830,0.216
1992,Annual,Colusa County,Not Adj,Not Prelim,8220,6450,1770,0.215
1991,Annual,Colusa County,Not Adj,Not Prelim,8090,6640,1450,0.179
1990,Annual,Colusa County,Not Adj,Not Prelim,8010,6860,1140,0.143
2019,Annual,Contra Costa County,Not Adj,Prelim,561800,544500,17300,0.031
2018,Annual,Contra Costa County,Not Adj,Not Prelim,560900,542800,18100,0.032
2017,Annual,Contra Costa County,Not Adj,Not Prelim,558600,537200,21400,0.038
2016,Annual,Contra Costa County,Not Adj,Not Prelim,553100,528400,24700,0.045
2015,Annual,Contra Costa County,Not Adj,Not Prelim,544600,517200,27400,0.050
2014,Annual,Contra Costa County,Not Adj,Not Prelim,539600,506300,33300,0.062
2013,Annual,Contra Costa County,Not Adj,Not Prelim,538000,497700,40300,0.075
2012,Annual,Contra Costa County,Not Adj,Not Prelim,535800,487900,47900,0.089
2011,Annual,Contra Costa County,Not Adj,Not Prelim,529600,475000,54500,0.103
2010,Annual,Contra Costa County,Not Adj,Not Prelim,525500,467900,57600,0.110
2009,Annual,Contra Costa County,Not Adj,Not Prelim,524800,472600,52200,0.100
2008,Annual,Contra Costa County,Not Adj,Not Prelim,523700,491100,32600,0.062
2007,Annual,Contra Costa County,Not Adj,Not Prelim,514300,490200,24100,0.047
2006,Annual,Contra Costa County,Not Adj,Not Prelim,510400,488600,21800,0.043
2005,Annual,Contra Costa County,Not Adj,Not Prelim,509900,485200,24700,0.048
2004,Annual,Contra Costa County,Not Adj,Not Prelim,507800,480300,27500,0.054
2003,Annual,Contra Costa County,Not Adj,Not Prelim,508400,477600,30800,0.061
2002,Annual,Contra Costa County,Not Adj,Not Prelim,510900,482000,29000,0.057
2001,Annual,Contra Costa County,Not Adj,Not Prelim,508300,487700,20600,0.040
2000,Annual,Contra Costa County,Not Adj,Not Prelim,501300,483500,17800,0.036
1999,Annual,Contra Costa County,Not Adj,Not Prelim,486200,471400,14800,0.031
1998,Annual,Contra Costa County,Not Adj,Not Prelim,476700,459500,17300,0.036
1997,Annual,Contra Costa County,Not Adj,Not Prelim,469100,449400,19600,0.042
1996,Annual,Contra Costa County,Not Adj,Not Prelim,457800,435100,22800,0.050
1995,Annual,Contra Costa County,Not Adj,Not Prelim,452200,426400,25700,0.057
1994,Annual,Contra Costa County,Not Adj,Not Prelim,451800,423900,27900,0.062
1993,Annual,Contra Costa County,Not Adj,Not Prelim,442500,413300,29200,0.066
1992,Annual,Contra Costa County,Not Adj,Not Prelim,442200,413300,28900,0.065
1991,Annual,Contra Costa County,Not Adj,Not Prelim,434500,410900,23600,0.054
1990,Annual,Contra Costa County,Not Adj,Not Prelim,435300,417800,17500,0.040
2019,Annual,Del Norte County,Not Adj,Prelim,9670,9120,550,0.057
2018,Annual,Del Norte County,Not Adj,Not Prelim,9720,9160,560,0.057
2017,Annual,Del Norte County,Not Adj,Not Prelim,9710,9080,620,0.064
2016,Annual,Del Norte County,Not Adj,Not Prelim,9750,9020,730,0.075
2015,Annual,Del Norte County,Not Adj,Not Prelim,9850,9010,840,0.085
