city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
San Mateo,"15,170,109","17,194,833","18,072,684","16,367,142","15,503,177","15,185,386","12,208,117","12,306,050","12,272,716","12,103,410","11,002,120","10,246,862","10,926,345","12,249,522","12,797,123","12,864,804","13,613,699","15,057,105","18,341,313","18,892,774","19,256,816"
South San Francisco,"11,019,857","11,988,284","13,165,847","12,993,014","12,305,060","10,993,969","9,002,181","9,097,554","9,271,396","9,494,387","8,016,165","7,641,102","8,168,390","8,927,731","9,666,420","10,051,888","10,684,448","12,017,734","15,090,824","16,953,661","18,630,006"
Woodside,"337,303","400,176","466,166","445,824","387,155","333,884","325,280","316,440","366,621","388,620","387,727","309,950","350,306","446,534","375,477","405,203","629,915","420,325","625,184","687,729","625,260"
Santa Barbara County unincorporated,"8,800,560","10,563,880","11,912,341","11,816,497","9,091,796","9,084,082","7,424,197","7,597,816","8,923,814","8,002,905","7,465,936","6,757,410","7,608,718","7,741,105","7,154,167","6,952,145","7,649,537","8,346,884","10,277,577","10,395,212","11,050,681"
Buellton,"1,213,465","1,310,348","1,385,307","1,483,061","1,492,429","1,502,652","1,195,946","1,225,018","1,218,787","1,342,745","1,190,139","1,106,351","1,132,960","1,232,059","1,286,167","1,427,422","1,450,839","1,736,181","2,225,248","2,414,122","2,586,510"
Carpinteria,"1,220,727","1,247,769","1,286,837","1,160,847","1,191,141","1,174,015","1,004,021","994,859","1,106,866","1,207,566","1,487,450","1,303,069","1,143,287","1,283,335","1,204,143","1,472,955","1,405,118","1,614,614","1,879,947","1,861,990","1,919,173"
Goleta,NA,NA,NA,"455,100","3,237,646","3,591,236","3,068,724","3,132,260","3,075,771","3,078,395","2,477,813","2,861,858","2,587,067","3,036,882","4,207,750","4,703,780","4,646,689","5,212,601","6,476,521","6,606,131","6,911,322"
Guadalupe,"156,481","146,767","166,112","180,461","197,497","240,919","257,516","287,171","253,671","227,198","186,857","173,874","164,033","199,000","307,853","225,156","233,816","285,188","344,415","401,611","393,908"
Lompoc,"2,621,265","2,881,826","3,021,611","3,205,322","3,188,594","3,416,479","2,962,581","2,976,073","2,935,885","2,894,051","2,628,538","2,372,698","2,409,763","2,766,062","2,884,755","3,014,128","3,220,305","3,470,693","5,306,907","4,061,124","5,032,371"
Santa Barbara,"15,963,923","16,937,849","17,735,035","17,450,755","17,465,969","18,001,540","14,688,211","14,566,087","14,977,880","15,179,838","13,489,736","12,374,959","12,906,221","14,168,208","14,926,316","15,405,420","16,131,119","17,629,097","21,617,773","21,003,355","23,296,780"
