city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Los Angeles County unincorporated,"34,237,150","38,057,688","42,481,008","41,402,902","44,383,095","45,454,379","39,402,234","41,598,656","45,279,251","42,408,801","39,920,267","33,740,241","33,733,498","38,149,071","46,520,678","43,907,148","47,794,241","51,219,081","61,668,310","62,664,102","69,553,162"
Agoura Hills,"2,313,878","2,463,222","2,844,621","3,212,833","3,070,419","3,097,707","2,666,882","2,824,940","2,817,199","2,806,345","2,603,723","2,151,978","2,388,792","2,388,762","2,684,255","2,793,733","3,092,627","3,172,850","3,826,551","4,002,146","4,083,076"
Alhambra,"9,939,095","11,066,317","11,571,379","11,769,456","12,020,344","12,037,085","10,158,995","9,816,141","9,928,766","9,641,651","9,113,888","8,301,659","8,873,587","9,431,796","10,350,030","10,689,439","11,086,789","13,280,527","16,224,208","16,178,161","17,236,368"
Arcadia,"6,415,981","6,623,386","7,223,609","7,138,067","7,203,813","7,701,609","6,828,021","7,085,348","6,966,757","7,211,503","6,645,738","6,229,299","6,353,744","6,756,218","7,203,984","7,481,523","7,947,273","8,719,139","11,035,264","10,669,954","11,578,755"
Artesia,"1,689,851","1,879,997","2,086,082","2,021,689","1,858,621","1,983,928","1,582,907","1,576,699","1,575,378","1,557,396","1,282,377","1,277,866","1,351,961","1,457,944","1,520,662","1,686,241","1,748,695","2,037,801","2,585,855","2,722,812","3,023,346"
Avalon,"609,975","628,909","648,514","651,134","629,742","658,320","554,534","524,624","550,535","538,361","505,724","472,042","475,369","534,323","604,375","570,439","680,294","756,006","948,942","1,030,624","933,111"
Azusa,"3,216,262","3,725,322","3,835,564","3,798,729","3,935,086","4,116,948","3,576,718","3,522,328","4,037,842","3,712,452","3,278,996","2,925,587","3,282,037","3,582,395","3,728,320","3,759,282","4,138,918","4,488,692","5,532,647","5,575,585","5,936,897"
Baldwin Park,"3,319,867","3,679,762","4,054,554","4,021,553","4,359,899","4,689,901","4,246,666","4,551,237","4,692,666","4,696,648","4,261,441","4,096,760","4,137,392","4,380,289","4,429,039","4,219,971","4,260,165","4,834,109","6,080,409","6,217,758","6,413,423"
Bell,"1,678,352","1,803,820","1,939,622","2,136,311","2,310,859","2,405,726","1,750,391","2,020,167","1,959,684","1,895,360","1,529,247","1,577,128","1,376,810","1,284,212","1,384,603","1,496,117","1,496,678","1,804,004","2,273,713","2,500,329","2,400,530"
Bell Gardens,"1,424,394","1,468,030","1,514,767","1,484,959","1,413,819","1,447,729","1,360,767","1,351,973","1,503,654","1,580,424","1,626,558","1,462,777","1,601,784","1,810,668","1,857,254","1,966,794","2,058,718","2,307,248","2,897,614","2,947,760","3,153,263"
Bellflower,"4,589,689","5,003,973","5,460,485","5,588,243","5,219,940","5,518,768","3,981,717","4,172,864","4,069,242","3,871,305","3,126,252","3,272,292","3,242,882","3,507,078","3,743,151","3,777,214","3,974,395","4,803,338","6,034,725","6,060,965","6,122,462"
Beverly Hills,"15,254,501","17,865,278","18,997,944","18,059,598","18,428,794","19,995,050","17,343,542","18,493,743","19,279,985","20,145,546","17,560,703","15,522,999","16,383,659","17,348,283","20,440,247","21,569,379","23,656,288","26,672,847","32,667,523","33,013,734","37,443,292"
Bradbury,"7,488","5,956","22,340",0,0,"8,636",0,0,0,"2,380","1,563","2,070","1,383","1,151","2,114","5,516","2,363","3,732","7,606","4,114","1,934"
Burbank,"17,979,512","19,849,186","21,487,997","21,394,845","23,789,723","25,850,125","22,158,281","22,547,562","23,050,763","24,223,585","22,715,842","19,159,280","21,565,487","22,778,036","21,767,273","22,717,727","24,106,455","24,723,907","33,612,237","34,730,104","36,501,456"
Calabasas,"2,798,753","3,564,312","4,764,826","4,544,656","4,758,646","4,879,790","4,961,547","4,604,374","5,071,318","4,819,181","4,381,342","3,887,867","4,321,158","3,846,338","4,204,029","4,418,756","4,300,126","4,248,788","4,743,057","5,099,844","5,760,764"
Carson,"15,974,631","17,952,711","18,362,112","19,706,385","19,021,351","20,483,879","15,252,202","15,222,933","15,139,719","15,508,288","14,038,744","11,651,836","13,244,581","15,655,200","16,093,126","17,649,405","15,964,629","20,075,466","24,872,304","23,919,368","28,321,022"
Cerritos,"22,392,652","24,377,196","26,103,464","24,765,806","25,958,431","26,468,483","20,860,861","20,324,800","19,535,909","18,825,613","15,844,573","13,508,266","15,443,707","17,231,081","19,309,481","19,371,974","20,627,104","25,353,862","33,213,874","32,975,409","34,548,183"
Claremont,"2,584,404","2,942,945","3,202,570","3,543,530","4,126,280","4,806,284","3,862,930","3,694,742","3,683,160","3,134,592","2,303,691","1,942,725","1,890,012","2,327,846","2,594,125","2,603,719","2,745,576","3,071,585","3,733,387","4,325,492","4,547,994"
Commerce,"10,347,203","11,640,679","11,209,794","9,932,262","10,776,978","11,466,228","10,750,119","11,253,731","11,808,321","12,131,130","10,969,387","8,948,468","10,058,716","12,526,861","13,666,160","14,921,297","15,595,850","16,083,185","19,923,057","20,367,359","22,814,286"
Compton,"5,620,587","5,669,541","5,702,355","5,512,342","5,058,115","4,651,806","4,536,975","4,004,433","4,050,994","4,481,853","4,731,788","4,822,494","4,672,443","5,079,465","5,739,578","5,592,331","5,892,186","6,384,187","8,374,117","9,520,630","9,160,613"
Covina,"6,112,777","6,530,838","7,217,695","7,101,739","7,010,006","8,120,545","6,699,121","6,924,066","6,659,172","6,526,248","5,426,089","4,708,997","4,914,492","5,282,474","5,682,452","5,750,074","5,867,730","7,817,197","9,193,572","9,135,698","9,458,857"
Cudahy,"1,007,036","1,129,918","1,218,217","1,160,054","1,057,589","1,311,358","1,125,669","1,247,817","1,215,453","1,099,896","919,635","693,683","830,507","882,341","882,159","896,179","969,571","939,513","1,233,783","1,221,514","1,130,074"
Culver City,"11,881,505","13,413,262","14,441,804","14,204,493","14,825,745","16,009,951","13,296,479","13,440,367","13,608,769","13,214,095","12,106,098","11,117,631","12,048,588","12,755,895","13,498,669","13,978,035","14,847,399","16,293,708","20,638,024","21,146,147","21,033,651"
Diamond Bar,"2,620,743","2,811,941","2,900,715","2,951,110","2,961,392","3,139,701","2,719,496","2,908,877","2,963,703","3,084,262","2,319,082","2,333,528","2,440,412","2,567,124","2,614,320","2,696,596","3,048,074","3,590,308","4,978,308","4,955,929","5,471,738"
Downey,"11,085,490","12,121,686","12,628,586","12,901,376","13,030,346","12,986,493","10,929,139","11,272,190","11,826,625","11,622,386","10,185,802","8,939,626","9,677,328","10,408,106","11,669,768","12,292,131","12,467,870","14,595,912","19,699,145","20,908,789","22,568,964"
Duarte,"2,700,247","3,283,346","3,792,102","3,935,502","4,076,442","4,289,384","3,670,945","3,765,605","3,725,835","3,319,249","2,852,000","3,020,680","3,241,867","3,250,142","3,552,809","3,717,916","3,911,983","4,520,620","5,242,200","5,243,380","5,656,133"
El Monte,"12,783,436","14,882,178","15,736,275","16,717,771","16,648,849","17,583,367","14,275,850","14,587,487","14,751,190","13,630,168","9,976,191","8,595,350","8,855,678","9,696,791","10,716,389","11,055,467","11,669,034","13,386,490","16,828,685","16,626,338","17,753,267"
El Segundo,"6,692,670","8,586,728","8,431,104","9,430,699","7,249,379","8,281,079","8,209,570","8,519,680","8,175,722","9,390,290","9,434,618","7,846,159","8,213,453","8,120,569","6,935,667","7,877,254","8,457,599","9,123,076","11,522,287","11,107,241","11,160,874"
Gardena,"6,389,215","7,124,253","7,618,480","7,203,054","7,326,008","7,897,288","6,564,103","6,629,686","6,987,680","6,972,552","6,071,468","5,282,280","5,409,931","6,233,299","6,630,380","6,982,055","7,361,426","8,794,119","10,977,655","11,411,206","12,235,106"
Glendale,"23,844,147","26,095,836","26,978,225","27,526,400","26,977,363","28,387,771","23,070,550","23,464,472","22,778,743","22,974,863","21,329,925","19,029,548","19,944,471","21,470,219","22,481,517","23,120,765","31,499,104","39,180,411","43,390,427","46,604,508","45,408,503"
Glendora,"3,991,902","4,786,774","5,161,499","5,692,216","6,297,420","6,735,606","5,712,076","5,490,875","5,358,810","5,537,425","5,002,706","4,672,982","4,740,876","5,254,776","5,698,718","5,916,674","5,950,801","6,766,191","8,332,385","8,765,206","9,210,923"
Hawaiian Gardens,"636,585","656,572","653,463","532,230","566,576","589,726","486,141","496,344","517,243","506,769","510,723","466,005","486,616","555,024","544,308","588,556","636,293","752,436","930,701","880,249","970,463"
Hawthorne,"5,622,951","6,140,792","6,999,315","7,204,520","7,812,238","9,390,183","7,947,939","8,688,109","8,400,549","8,242,607","7,858,911","7,487,860","8,101,968","8,921,300","9,494,207","10,046,617","10,879,936","12,802,087","15,043,131","16,340,943","17,909,648"
Hermosa Beach,"2,130,964","2,375,713","2,675,479","2,658,251","2,522,259","2,589,096","2,065,540","1,810,629","1,811,282","1,858,524","1,837,397","1,573,698","1,663,357","1,811,766","1,899,713","1,991,256","2,071,115","2,302,070","2,823,041","3,067,524","3,064,741"
Hidden Hills,"25,377","24,265","19,150","15,795","17,651","17,333","27,347","28,460","24,524",570,"12,525","11,361","6,627","7,066","13,539","13,494","10,577","7,611","4,022","27,815","11,841"
Huntington Park,"22,204,678","4,087,500","4,355,284","4,690,442","4,969,319","5,507,461","4,837,299","6,003,578","5,068,892","5,110,036","4,325,381","3,777,970","4,104,245","4,192,809","4,175,323","4,699,388","4,890,003","5,559,967","6,790,337","6,733,883","7,043,529"
Industry,"23,486,159","25,186,939","25,537,606","25,619,562","26,803,811","28,007,880","23,778,688","24,846,631","25,327,634","24,664,512","19,806,897","17,282,487","18,648,602","22,493,981","23,420,937","27,492,366","23,290,301","25,433,973","32,202,639","35,839,729","34,678,090"
Inglewood,"6,452,231","6,390,519","9,063,849","8,409,013","8,240,655","8,178,601","7,557,476","8,082,244","8,588,691","8,220,202","7,970,788","7,144,002","7,603,692","8,328,257","8,817,855","9,415,253","9,938,912","11,406,980","13,956,619","15,879,091","17,732,145"
Irwindale,"2,827,605","3,260,165","3,591,796","3,492,508","3,690,088","3,847,719","3,642,732","3,514,988","3,946,576","3,905,616","3,491,362","2,841,136","3,190,770","2,606,155","2,695,879","3,031,133","3,162,315","2,949,571","3,851,625","4,153,823","3,989,884"
La Canada Flintridge,"1,611,465","1,718,918","1,808,099","1,740,305","1,815,541","1,885,980","1,564,414","1,538,608","1,531,918","1,619,185","1,517,825","1,468,136","1,540,285","1,709,802","1,827,621","1,983,961","2,032,893","2,178,437","2,721,795","2,668,832","2,878,963"
La Habra Heights,"55,152","56,853","76,384","65,677","102,683","39,786","46,429","26,587","20,674","38,709","33,746","28,027","17,710","23,285","27,530","23,446","17,726","29,053","36,577","40,661","43,408"
La Mirada,"7,046,924","7,577,065","8,267,253","6,529,112","6,493,971","9,028,042","7,936,178","7,626,152","8,475,216","7,820,712","7,196,392","5,855,740","6,643,689","7,193,774","7,599,998","6,855,079","7,143,859","8,263,623","10,429,309","10,556,350","11,075,315"
La Puente,"1,949,939","2,303,158","2,340,442","2,662,710","2,382,061","2,517,419","1,898,093","1,871,884","1,916,311","1,780,875","1,549,784","1,491,941","1,701,629","1,793,434","1,737,897","1,797,317","2,015,168","2,438,802","3,067,117","3,118,965","3,405,298"
La Verne,"2,345,582","2,500,687","2,863,396","2,910,650","2,963,436","3,239,279","2,861,995","2,759,658","2,921,872","3,110,750","2,863,942","2,452,200","2,626,435","2,870,758","2,837,251","2,890,515","3,075,201","3,531,306","4,241,136","4,324,623","4,537,979"
Lakewood,"7,434,590","8,187,222","9,201,454","9,665,190","10,165,711","10,820,133","9,171,987","9,024,633","8,644,741","8,510,939","7,974,430","7,885,004","8,287,557","8,910,848","9,625,626","9,583,375","9,927,712","11,168,069","13,989,805","14,129,913","14,388,894"
Lancaster,"10,640,192","12,318,175","12,592,790","13,022,655","13,740,272","16,113,388","14,130,887","14,823,045","15,497,318","13,642,798","11,538,966","10,726,798","11,194,013","12,489,690","13,019,288","13,384,558","13,728,925","15,982,000","20,097,483","20,653,376","22,980,662"
Lawndale,"1,881,267","2,036,828","2,084,532","2,081,037","2,125,614","2,303,655","2,021,230","2,132,522","2,186,406","2,123,411","1,865,410","1,595,780","1,746,964","1,869,612","1,880,215","1,888,067","1,988,978","2,330,474","2,898,236","2,936,397","3,095,266"
Lomita,"1,093,733","1,236,342","1,283,014","1,366,309","1,355,123","1,369,850","1,162,193","1,233,997","1,244,619","1,253,883","1,119,222","1,056,024","1,166,119","1,244,601","1,352,006","1,332,738","1,285,949","1,408,299","1,657,096","1,807,562","1,852,917"
Long Beach,"27,998,445","33,458,513","39,939,815","38,164,569","40,986,834","41,231,248","36,946,037","38,196,604","37,847,825","41,857,762","37,115,775","37,507,056","40,425,649","46,070,909","42,651,596","44,279,469","42,886,146","47,595,335","57,718,684","59,244,698","69,195,426"
Los Angeles,"306,538,394","332,138,507","358,180,005","351,744,263","364,612,673","378,433,209","317,047,340","323,642,065","334,022,938","335,858,541","312,058,928","280,287,914","296,596,493","323,309,080","339,192,206","355,087,706","370,563,219","417,724,954","520,722,016","530,500,168","581,614,817"
Lynwood,"1,987,408","2,267,480","2,431,618","2,259,188","2,470,640","2,788,158","2,472,407","2,539,693","2,692,959","2,656,168","2,563,098","2,297,567","2,422,626","2,530,220","2,652,855","2,687,755","2,725,547","3,170,426","3,912,437","4,007,023","4,436,981"
Malibu,"1,627,884","1,785,159","1,851,497","1,962,803","2,332,459","2,243,759","1,823,070","1,765,600","1,802,398","1,901,255","1,842,356","1,820,628","1,832,903","1,928,263","2,123,451","2,365,645","2,553,707","2,769,603","3,638,654","3,666,634","3,597,257"
Manhattan Beach,"6,071,518","6,941,765","7,139,499","7,051,891","6,928,497","7,237,401","6,051,770","6,097,834","6,076,161","6,177,106","5,726,506","5,535,952","6,390,500","6,996,568","7,421,465","7,175,289","7,366,629","7,292,310","9,005,517","8,874,799","9,212,806"
Maywood,"841,032","802,446","905,642","883,686","861,957","853,869","744,417","798,927","788,048","818,290","765,196","717,104","806,980","890,967","888,928","870,445","1,025,615","993,151","1,303,219","1,478,438","1,751,732"
Monrovia,"6,139,502","6,898,898","7,547,235","7,776,662","7,868,831","7,926,308","6,822,285","6,913,328","6,712,634","6,352,759","5,915,278","5,283,791","5,556,200","6,315,070","6,354,689","6,258,738","6,619,145","7,937,111","9,748,219","9,730,766","10,645,039"
Montebello,"9,208,158","9,780,772","9,732,616","9,437,222","9,831,012","9,818,259","8,983,278","9,085,389","9,563,246","8,935,215","7,207,420","6,973,860","7,721,518","7,989,241","8,135,196","9,021,902","9,221,304","10,837,964","14,313,995","13,283,890","13,352,565"
Monterey Park,"6,054,346","3,537,596","3,932,412","4,336,464","4,457,895","4,955,758","3,585,332","3,724,558","3,721,055","3,575,921","2,956,468","2,928,712","3,114,738","3,404,781","3,557,114","3,634,698","4,088,775","4,825,419","5,965,847","5,854,994","7,549,959"
Norwalk,"5,898,493","6,884,895","7,446,567","7,471,718","7,932,878","8,397,559","7,523,633","7,348,432","7,137,549","7,294,587","6,459,952","5,879,049","6,136,506","6,577,589","6,913,056","6,892,627","7,221,219","8,153,870","10,291,597","10,694,178","12,425,251"
Palmdale,"8,289,755","9,361,082","10,427,673","11,221,514","12,108,234","15,231,945","13,210,703","13,960,859","13,969,234","12,627,318","10,985,047","10,528,852","10,783,783","11,358,787","11,868,793","11,955,489","12,638,409","14,766,036","18,289,002","19,790,288","21,142,930"
Palos Verdes Estates,"221,744","239,612","272,562","242,546","220,040","241,262","194,023","192,740","222,527","189,864","170,194","150,384","146,439","143,736","158,878","176,627","198,299","209,114","225,351","240,976","257,007"
Paramount,"4,635,986","5,068,907","5,258,555","5,086,228","5,525,394","5,899,248","5,122,433","5,558,212","5,815,008","5,535,342","4,955,095","4,486,755","4,914,046","5,723,981","5,712,657","5,772,919","5,558,130","5,896,605","7,314,924","7,695,949","8,200,057"
Pasadena,"25,146,744","26,275,950","27,125,932","28,405,355","29,420,155","31,749,083","26,575,066","25,470,464","25,877,258","26,368,309","24,546,778","21,528,592","22,147,930","22,731,897","23,782,697","23,872,137","24,888,827","27,898,287","34,976,694","33,846,797","37,696,859"
Pico Rivera,"4,100,879","4,460,796","5,019,015","4,092,087","5,438,285","6,385,465","5,489,186","5,845,592","5,697,124","5,799,154","5,652,515","5,147,229","5,239,474","5,467,607","6,113,939","6,068,654","6,088,235","7,021,164","8,809,541","9,043,379","9,876,130"
Pomona,"10,318,192","11,136,000","11,783,969","11,708,844","11,934,273","13,170,536","10,752,316","13,315,886","12,008,720","12,298,363","9,799,913","9,524,891","8,688,106","9,392,524","11,144,190","12,809,409","12,626,444","12,497,966","16,150,571","17,144,453","17,597,752"
Rancho Palos Verdes,"799,345","870,161","915,211","923,708","920,476","1,014,060","864,959","808,914","865,738","891,261","939,185","1,048,424","1,371,491","1,367,741","1,472,929","1,559,630","1,667,931","1,916,100","2,376,942","2,412,291","2,563,674"
Redondo Beach,"6,948,579","8,046,125","8,525,379","7,920,251","8,075,776","8,505,464","7,112,437","7,400,886","7,542,361","7,398,492","6,644,506","6,102,178","6,614,951","7,230,323","7,483,009","7,841,598","8,386,285","8,910,475","10,253,587","10,080,608","10,399,640"
Rolling Hills,"3,004","5,876","16,923","10,864","1,552",0,"2,843","10,522","7,929","12,867","6,564",0,0,"2,801","2,549","2,574","6,064","7,234","7,521","4,833","6,445"
Rolling Hills Estates,"1,051,882","1,104,680","1,450,396","1,388,002","1,470,183","1,489,180","1,243,172","1,228,417","1,205,903","1,202,567","1,027,708","910,355","922,316","878,360","888,071","906,838","897,799","891,372","1,159,700","1,251,436","1,270,497"
Rosemead,"2,548,804","2,705,786","2,938,908","2,712,700","3,010,693","3,134,918","2,576,218","2,546,601","2,519,322","2,776,947","3,654,768","2,866,282","2,859,381","3,006,148","3,062,981","3,343,720","3,428,853","3,845,210","5,265,722","5,849,276","5,562,433"
San Dimas,"3,882,219","3,821,396","3,721,786","3,863,262","4,185,849","4,747,240","4,393,831","4,502,398","4,597,201","4,693,075","4,563,966","4,752,450","3,796,372","4,416,738","4,216,489","4,125,564","4,432,482","4,857,721","5,943,999","6,246,443","6,649,073"
San Fernando,"3,909,170","4,189,104","4,512,848","4,243,844","4,585,469","4,620,669","4,186,625","4,001,415","3,425,115","3,158,837","2,768,168","2,527,626","2,224,213","2,403,849","2,615,268","2,864,521","3,286,361","3,765,568","5,161,192","5,289,132","5,395,155"
San Gabriel,"3,042,978","3,312,237","3,291,719","3,374,315","3,472,293","3,583,873","3,003,898","2,915,119","2,997,685","2,825,702","2,587,943","2,265,248","2,552,079","2,764,059","2,984,998","2,934,324","3,021,704","3,118,513","3,991,720","3,974,666","4,276,383"
San Marino,"377,872","442,267","437,819","408,126","445,379","436,370","313,193","357,359","298,386","411,503","347,179","310,471","296,992","291,894","278,862","329,809","328,624","387,925","483,017","460,980","499,559"
Santa Clarita,"17,476,318","18,843,186","20,989,589","22,192,945","23,829,017","26,998,273","22,504,281","23,289,542","24,099,333","23,875,566","20,970,982","19,291,795","20,539,303","21,777,746","23,717,981","24,535,042","25,881,427","29,344,558","36,213,575","36,934,464","38,220,614"
Santa Fe Springs,"21,450,007","20,445,612","23,074,278","21,027,769","20,187,282","21,279,905","18,478,087","19,296,647","19,522,209","19,140,032","17,666,666","14,232,944","14,859,035","17,543,586","17,398,269","18,634,733","19,984,904","20,906,072","24,672,507","24,837,253","27,977,675"
Santa Monica,"18,059,823","24,474,546","26,273,412","24,656,180","25,254,711","27,444,859","23,006,783","23,939,550","24,614,245","24,279,399","21,688,016","19,897,602","21,753,447","24,370,958","24,773,409","25,607,717","26,676,583","30,372,749","36,498,313","35,509,138","39,459,199"
Sierra Madre,"184,994","230,216","247,883","223,599","237,350","221,785","199,729","204,929","223,222","220,605","210,673","192,210","186,865","193,536","195,882","215,462","236,854","263,344","304,579","315,872","352,521"
Signal Hill,"8,122,341","8,152,289","9,671,748","9,904,410","10,030,087","10,528,005","8,667,030","8,308,298","9,029,634","9,054,237","7,976,102","6,840,803","7,363,557","8,255,244","8,958,050","10,673,485","13,398,633","15,011,089","17,745,802","17,919,067","18,137,708"
South El Monte,"3,062,253","3,465,310","3,505,898","3,275,288","3,194,731","3,739,486","3,103,358","3,166,555","3,463,796","3,538,594","3,473,769","2,816,949","2,770,730","3,111,143","3,223,975","3,296,785","3,421,542","4,023,367","4,832,137","4,988,653","5,076,812"
South Gate,"5,126,288","6,194,122","6,795,296","6,934,983","7,330,691","6,854,087","6,315,580","6,057,514","5,864,425","5,886,722","5,097,131","4,163,189","4,374,312","4,723,472","5,208,606","5,249,024","6,623,773","8,521,644","10,867,244","10,802,977","11,153,326"
South Pasadena,"1,325,186","1,434,935","1,515,289","1,475,400","1,543,502","1,514,090","1,325,697","1,363,415","1,419,299","1,396,802","1,352,687","1,197,950","1,191,173","1,342,818","1,418,539","1,546,173","1,605,217","1,801,355","2,160,540","2,221,132","2,248,655"
Temple City,"1,447,145","1,519,810","1,630,694","1,413,546","1,419,903","1,396,320","1,195,320","1,193,641","1,207,351","1,324,212","1,230,355","1,121,105","1,214,089","1,231,440","1,276,935","1,292,291","1,423,053","1,524,628","1,957,952","2,037,423","2,199,118"
Torrance,"33,961,104","36,956,490","38,383,925","37,583,456","37,839,509","38,239,529","31,430,294","34,252,959","34,581,152","33,408,237","30,765,228","26,980,018","28,033,454","29,168,388","31,649,993","31,890,931","33,234,451","37,751,441","48,041,276","46,933,697","50,765,956"
Vernon,"4,463,517","4,576,114","4,558,029","4,502,796","4,293,642","4,965,403","3,671,614","3,656,989","4,000,669","4,293,701","3,437,496","3,005,451","3,130,123","3,614,903","3,572,871","3,727,404","3,894,185","4,654,063","6,090,452","7,419,418","8,209,552"
Walnut,"1,263,649","1,249,472","1,319,217","1,308,892","1,267,470","1,482,161","1,374,252","1,404,970","1,453,478","1,497,957","1,333,733","1,140,742","1,251,306","1,326,845","1,416,733","1,397,318","1,452,298","1,712,776","2,142,378","2,062,417","2,146,159"
West Covina,"10,660,001","11,315,747","12,515,050","12,657,029","13,491,363","13,610,958","11,375,474","11,346,988","11,399,763","10,933,823","10,021,907","8,730,921","9,234,178","9,778,437","10,655,024","11,238,782","12,259,929","14,340,633","17,750,481","16,842,839","17,725,550"
West Hollywood,"7,139,288","8,040,567","8,684,730","7,978,491","8,315,740","8,575,248","8,469,495","8,805,049","9,296,292","9,480,517","9,169,138","8,240,093","8,665,994","9,397,141","9,782,976","10,300,029","10,908,165","12,495,762","16,180,998","16,892,938","17,626,119"
Westlake Village,"2,345,200","2,688,626","2,954,055","2,860,434","2,859,764","2,781,537","2,358,857","2,520,163","2,589,422","2,524,029","2,253,592","2,013,335","2,110,230","2,467,855","2,629,377","2,678,889","3,313,805","3,604,581","4,727,037","4,413,104","4,727,023"
Whittier,"6,957,192","7,633,511","8,150,264","7,867,814","9,178,361","9,166,314","6,881,646","7,049,283","7,524,496","7,334,439","6,294,799","5,689,140","5,396,445","6,020,010","5,931,333","6,245,740","6,603,501","7,786,019","9,403,505","10,125,891","10,443,047"
Madera County unincorporated,"3,677,481","3,980,017","4,154,014","3,856,889","4,386,544","4,801,637","4,718,767","5,381,354","5,474,524","5,199,928","4,471,830","4,159,272","4,790,369","4,948,088","4,996,571","4,831,390","4,545,130","4,933,791","6,202,700","6,648,298","7,036,450"
Chowchilla,"584,488","637,825","675,925","779,759","790,362","821,235","683,893","789,306","785,463","892,892","764,141","578,137","703,207","610,732","709,294","910,047","1,111,110","1,202,065","1,441,804","1,477,684","1,625,618"
Madera,"3,732,450","3,941,021","4,050,393","3,968,580","4,231,728","4,677,225","4,102,648","4,508,550","4,601,590","4,552,046","4,121,460","3,514,207","3,499,305","4,500,996","4,706,111","5,160,348","5,854,906","6,412,434","7,981,075","8,545,378","8,772,274"
Marin County unincorporated,"2,475,859","2,926,554","3,149,769","3,019,306","3,210,032","3,294,440","2,709,922","2,624,376","2,926,032","2,865,485","2,578,357","2,571,091","2,784,330","2,800,406","2,913,861","2,897,357","2,788,417","4,335,601","5,023,052","4,484,364","4,808,327"
Belvedere,"65,786","76,223","98,304","82,503","76,321","76,133","58,868","48,973","49,990","58,999","47,377","45,104","42,085","87,855","113,661","70,374","29,444","57,149","75,496","80,776","117,706"
Corte Madera,"4,531,525","4,869,730","5,233,720","5,156,632","4,828,101","5,069,989","4,289,476","4,432,498","4,343,246","4,359,067","3,918,221","3,983,621","4,128,403","4,037,702","4,472,580","4,582,205","5,035,014","5,421,511","6,496,659","6,161,175","7,925,948"
Fairfax,"297,075","315,902","349,235","344,252","344,117","351,445","306,750","308,479","321,772","314,561","340,830","314,020","318,719","366,456","399,992","435,523","467,221","492,054","613,039","696,962","672,314"
Larkspur,"1,567,016","1,641,381","1,774,146","1,757,062","1,710,845","2,108,620","1,428,195","1,469,184","1,511,592","1,500,436","1,458,357","1,343,125","1,410,578","1,506,499","1,794,511","1,945,872","1,932,834","2,149,373","2,580,132","2,648,087","3,060,548"
Mill Valley,"1,774,219","2,058,224","2,143,809","2,033,673","1,948,329","2,017,284","1,699,132","1,820,594","1,732,221","1,987,632","1,692,098","1,534,144","1,623,498","1,857,709","2,003,645","2,118,757","2,319,551","2,375,465","2,937,492","3,400,750","3,208,741"
Novato,"6,252,565","6,914,824","7,346,345","6,839,758","6,779,179","6,662,145","5,754,019","5,770,856","5,838,061","5,909,981","5,361,548","5,299,669","5,541,820","5,625,261","5,920,825","5,983,526","6,120,387","7,008,899","8,594,324","9,363,096","9,819,524"
Ross,"51,323","59,221","54,651","54,482","57,219","51,635","99,900",0,"20,218","30,098","36,515","28,910","22,769","24,119","26,431","24,383","33,988","37,365","55,890","60,595","71,100"
San Anselmo,"923,037","1,013,651","980,630","1,004,664","965,348","931,680","787,553","744,375","749,521","821,519","785,904","725,730","755,097","800,180","799,057","921,597","1,040,538","949,537","1,845,178","1,381,234","1,281,181"
San Rafael,"14,240,003","16,073,093","17,990,610","16,843,001","16,700,172","17,199,466","13,693,633","13,329,178","13,577,438","13,518,338","11,830,997","10,626,765","11,389,366","12,227,299","12,990,812","14,302,932","15,258,949","16,665,137","20,367,035","21,108,546","22,329,940"
Sausalito,"1,765,425","1,622,954","1,551,237","1,365,362","1,364,358","1,250,934","1,129,719","1,099,749","1,154,146","1,195,745","1,230,056","994,915","1,058,289","1,209,957","1,299,269","1,389,929","1,604,936","1,744,177","2,212,627","2,262,564","2,210,476"
Tiburon,"502,773","545,738","581,748","538,682","798,269","505,014","387,712","415,551","376,771","446,552","375,675","301,956","295,364","304,975","351,942","404,379","469,218","496,076","614,567","608,403","571,037"
Mariposa County UNINCORPORATED,"1,219,519","1,299,751","1,293,522","1,311,119","1,375,227","1,362,726","1,288,206","1,303,482","1,269,417","1,279,765","1,253,134","1,207,833","1,245,394","1,325,930","1,364,958","1,343,024","1,425,911","1,612,126","1,989,838","2,110,613","2,105,928"
Mendocino County unincorporated,"3,376,993","3,806,975","4,069,041","3,897,126","4,189,514","4,334,056","3,485,038","3,414,074","3,630,984","3,751,602","3,457,866","3,012,649","3,099,411","3,392,007","3,542,483","3,886,019","4,444,336","4,434,067","5,855,231","6,299,335","6,475,664"
Fort Bragg,"1,264,303","1,447,360","1,497,637","1,566,476","1,507,008","1,602,538","1,400,854","1,348,661","1,306,713","1,281,191","1,202,945","1,053,434","1,087,835","1,140,080","1,182,930","1,187,776","1,219,471","1,259,150","1,514,816","1,732,268","1,771,494"
Point Arena,"46,576","51,631","62,264","68,692","48,036","43,259","39,782","27,233","29,219","38,503","38,406","52,843","59,814","58,664","55,733","53,527","49,998","58,864","75,439","72,145","72,505"
