Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,start_date,year,county
CA-LMU-004700,HOWARD,WF,41,121,380.0,Acres,438878.0,0,2016-09-11,2016,Shasta
CA-HUU-006956,TULLEY,WF,41,124,599.0,Acres,14750000.0,3,2016-08-22,2016,Humboldt
CA-LNU-007135,COLD,WF,39,122,5731.0,Acres,10497869.0,2,2016-08-03,2016,Colusa
CA-NEU-015200,TRAILHEAD,WF,39,121,5646.0,Acres,25782000.0,0,2016-06-28,2016,Placer
CA-PNF-001155,TOBIN,WF,40,121,248.0,Acres,2000000.0,0,2016-09-26,2016,Plumas
CA-SKU-007392,GRADE,WF,42,123,710.0,Acres,2094722.0,10,2016-08-24,2016,Siskiyou
CA-KNF-004500,Pony,WF,42,124,2860.0,Acres,20500000.0,0,2016-06-07,2016,Del Norte
CA-KNF-007501,GAP,WF,42,123,33867.0,Acres,29700000.0,14,2016-08-28,2016,Siskiyou
CA-SHF-001371,SADDLE,WF,41,124,1542.0,Acres,9952000.0,0,2015-06-10,2015,Humboldt
CA-SHU-006739,Fiddler,WF,40,123,441.0,Acres,314000.0,0,2016-07-09,2016,Trinity
CA-AEU-029631,Emerald,WF,39,120,176.0,Acres,326989.0,0,2016-10-14,2016,Douglas
CA-SCU-006912,LOMA,WF,37,122,4474.0,Acres,16300000.0,28,2016-09-26,2016,Santa Cruz
CA-LNU-007582,CLAYTON,WF,39,123,3929.0,Acres,18580412.0,300,2016-08-13,2016,Lake
CA-NEU-017851,LOWELL,WF,39,121,2304.0,Acres,18070860.0,3,2015-07-25,2015,Placer
CA-SCU-003873,COE,WF,37,121,120.0,Acres,500000.0,0,2016-06-07,2016,Merced
CA-LNU-005586,RESERVOIR,WF,39,123,215.0,Acres,325000.0,0,2016-06-27,2016,Lake
CA-BTU-013655,Saddle,WF,40,122,850.0,Acres,2800000.0,3,2016-09-05,2016,Tehama
CA-LMU-004695,WILLARD,WF,40,121,2575.0,Acres,11495469.0,7,2016-09-11,2016,Plumas
CA-ANF-002417,RESERVOIR,WF,34,118,1146.0,Acres,7782367.0,0,2016-06-20,2016,Los Angeles
CA-ANF-003008,SAND,WF,34,118,41383.0,Acres,35000000.0,20,2016-07-22,2016,Los Angeles
CA-ANF-002419,San Gabriel Complex,WF,34,118,4900.0,Acres,3700000.0,0,2016-06-20,2016,Los Angeles
CA-RRU-105125,BOGART,WF,34,117,1470.0,Acres,2576000.0,2,2016-08-30,2016,San Bernardino
CA-CND-001415,ERSKINE,WF,36,118,48019.0,Acres,23000000.0,286,2016-06-23,2016,Kern
CA-CND-032375,HAVILA,WF,35,119,304.0,Acres,1800000.0,0,2016-08-27,2016,Kern
CA-SNF-002370,SACATA,WF,37,119,2100.0,Acres,3520000.0,0,2016-10-11,2016,Fresno
CA-SQF-002595,CEDAR,WF,36,119,29322.0,Acres,58446000.0,6,2016-08-16,2016,Tulare
CA-LAC-16198015,SAGE,WF,34,119,1109.0,Acres,4500000.0,0,2016-07-09,2016,Ventura
CA-CND-001928,ONYX,WF,36,118,232.0,Acres,550000.0,1,2016-07-14,2016,Kern
CA-INF-001415,CLARK,WF,38,119,2819.0,Acres,3934872.0,0,2016-08-04,2016,Mono
CA-TCU-007341,PACHECO,WF,38,121,341.0,Acres,305897.0,2,2016-07-12,2016,San Joaquin
CA-SLU-008948,CHIMNEY,WF,36,121,46344.0,Acres,78300000.0,70,2016-08-13,2016,Monterey
CA-KRN-025390,FORT,WF,35,119,554.0,Acres,550156.0,0,2016-07-08,2016,Kern
CA-LPF-001643,Sherpa,WF,35,120,7474.0,Acres,19320000.0,5,2016-06-15,2016,Santa Barbara
CA-LPF-001504,Coleman,WF,36,121,2520.0,Acres,6515000.0,1,2016-06-04,2016,Monterey
CA-ANF-001912,WHEATLAND,WF,34,118,156.0,Acres,435037.0,0,2016-05-23,2016,Los Angeles
CA-FKU-010852,GOOSE,WF,37,119,2241.0,Acres,10400000.0,9,2016-07-30,2016,Fresno
CA-SNF-002154,CROWN,WF,37,119,800.0,Acres,256546.0,0,2016-09-16,2016,Fresno
CA-LAC-160799,OLD,WF,34,119,465.0,Acres,2500000.0,9,2016-06-04,2016,Ventura
CA-LPF-001986,Pine,WF,35,119,2304.0,Acres,15500000.0,0,2016-06-30,2016,Kern
CA-BEU-003422,SOBERANES,WF,36,122,132127.0,Acres,262500000.0,68,2016-07-22,2016,Monterey
CA-FKU-011358,MINERAL,WF,36,121,7050.0,Acres,11318195.0,2,2016-08-09,2016,Monterey
CA-CND-001134,CHIMNEY,WF,36,118,1324.0,Acres,2800000.0,0,2016-06-01,2016,Kern
CA-SQF-003456,Meadow,WF,36,119,4347.0,Acres,650000.0,0,2016-10-30,2016,Tulare
CA-TCU-009339,WILLOW,WF,38,121,450.0,Acres,950250.0,1,2016-08-28,2016,San Joaquin
CA-STF-002417,EARLY,WF,38,120,187.0,Acres,150000.0,0,2016-08-29,2016,Tuolumne
CA-LPF-002809,REY,WF,35,120,32606.0,Acres,29910000.0,5,2016-08-18,2016,Santa Barbara
CA-MCP-002125,ROBLAR,WF,33,117,1245.0,Acres,2000000.0,0,2016-07-21,2016,San Diego
