year,acres_burned
1952.0,186.33899
1952.0,495.10074000000003
1952.0,618.15387
1952.0,830.81384
1952.0,265.50259
1952.0,1459.2646
1952.0,672.4490400000001
1952.0,338.4046
1952.0,157.35231000000002
1952.0,896.80341
1952.0,2382.5715
1952.0,2666.5774
1952.0,475.94659
1952.0,611.7356599999999
1952.0,283.52234
1952.0,2814.489
1952.0,317.2858
1952.0,297.93917999999996
1952.0,213.87618999999998
1952.0,732.72388
1952.0,1390.4283
1952.0,581.9218099999999
1952.0,494.37021
1952.0,1555.2408
1952.0,348.12393
1952.0,599.0563400000001
1952.0,537.98743
1952.0,507.56119
1952.0,138.27581999999998
1952.0,938.64026
1952.0,1604.5361
1952.0,294.03729
1952.0,2300.7737
1952.0,2550.3259
1952.0,509.63184
1952.0,361.10004
1952.0,675.83868
1952.0,701.2927900000001
1952.0,133.88451
1952.0,879.07385
1952.0,174.74876
1953.0,899.28345
1953.0,2843.2405
1953.0,8817.2607
1953.0,252.85483
1953.0,740.83099
1953.0,975.45691
1953.0,128.39561
1953.0,197.47261
1953.0,490.85900999999996
1953.0,250.16597000000002
1953.0,435.82327000000004
1953.0,148.3703
1953.0,707.63739
1953.0,225.9919
1953.0,3104.8723
1953.0,363.17072
1953.0,189.1291
1953.0,11775.191
1953.0,689.0167799999999
1953.0,208.37859
1953.0,245.45436
1953.0,400.39258
1953.0,433.62897000000004
1953.0,443.60458
1953.0,808.078
1953.0,403.4913
1953.0,127.57473
1953.0,332.49573
1953.0,21023.729
1953.0,4464.2202
1953.0,680.6496
1953.0,638.20728
1953.0,31708.982000000004
1953.0,215.46167000000003
1953.0,2816.7678
1953.0,1324.4517
1953.0,551.9267
1953.0,881.04797
1953.0,195.49321
1953.0,2249.3701
1953.0,739.7205799999999
1953.0,1023.743
1953.0,501.48685
1953.0,1007.1285
1953.0,493.4548
1953.0,630.93103
1953.0,135.87923
1953.0,330.03592000000003
1953.0,415.29599
1953.0,1174.9313
1953.0,2920.3284
1953.0,2759.8201
1953.0,458.24567
1953.0,605.20483
1953.0,919.74219
1953.0,900.54486
1953.0,557.91315
1953.0,719.0570700000001
1953.0,457.00723
1953.0,121.11176999999999
1953.0,151.93872
1953.0,35455.453
1953.0,362.55307
1953.0,649.25598
1953.0,1102.433
1953.0,165.55948999999998
1953.0,331.56387
1953.0,336.23331
1953.0,2602.4861
1953.0,239.67619
1953.0,237.76317999999998
1953.0,900.54541
1953.0,457.30618
1953.0,2590.8933
1953.0,331.70935
1953.0,67702.047
1953.0,1548.3292
1953.0,257.10332999999997
1953.0,504.94495
1953.0,1087.9344
1953.0,284.4165
1953.0,812.82294
1953.0,146.70612
1953.0,170.84694
1953.0,440.41211
1953.0,797.05304
1953.0,1258.3678
1953.0,966.30481
1953.0,300.27725
1953.0,744.93268
1953.0,247.28983
1953.0,556.45929
1953.0,169.24153
1953.0,586.76721
1953.0,103.32175
1953.0,277.11203
1953.0,433.44060999999994
1953.0,14061.26
1953.0,274.86795
1953.0,236.45924
1953.0,1546.6824
1953.0,918.11401
1953.0,9226.2061
1953.0,203.24049
1953.0,331.16495
1953.0,671.4080799999999
1953.0,129.58588
1953.0,2418.5139
1953.0,147.6111
1953.0,218.48377999999997
1953.0,2258.1172
1953.0,1785.5413
1953.0,3055.7263
1953.0,534.94989
1953.0,2361.2495
1953.0,534.03754
1953.0,281.17291
1953.0,24609.814
1953.0,335.8757
1953.0,122.11133000000001
1953.0,654.5057400000001
1953.0,1748.9962
1953.0,331.36441
1953.0,684.32672
1953.0,362.9765
1953.0,504.20910999999995
1953.0,961.21869
1953.0,408.04071
1953.0,556.6123
1953.0,471.6235
1953.0,415.21518
1953.0,1158.2681
1953.0,805.12323
1953.0,1298.8051
1953.0,548.3057299999999
1953.0,1854.5496
1953.0,6867.8701
1953.0,186.84705
1953.0,873.17291
1953.0,797.40228
1953.0,112.91443999999998
1953.0,418.76144
1954.0,2340.4753
1954.0,687.89337
1954.0,2661.6987
1954.0,1643.3667
1954.0,639.02545
1954.0,5453.6807
1954.0,3921.1267
1954.0,4938.644
1954.0,209.77101000000002
1954.0,435.06372000000005
1954.0,570.11536
1954.0,2749.7642
1954.0,483.36957
1954.0,2200.6277
1954.0,515.64917
1954.0,726.38062
1954.0,7585.5
1954.0,101.56873
1954.0,182.5024
1954.0,13869.623
1954.0,423.85089000000005
1954.0,497.03302
1954.0,691.20728
1954.0,3490.3594
1954.0,616.74902
1954.0,1561.9771
1954.0,100.83794
1954.0,1528.4706
1954.0,279.5094
1954.0,430.82122999999996
1954.0,1624.7584
1954.0,2026.9916
1954.0,552.3598
1954.0,174.85852
1954.0,276.22757
1954.0,2212.4983
1954.0,374.46682999999996
1954.0,6960.0
1954.0,127.07716
1954.0,253.95331000000002
1954.0,399.04568
1954.0,772.34167
1954.0,2514.3235
1954.0,128.60638
1954.0,2678.4819
1954.0,715.7832
1954.0,2069.1287
1954.0,524.9284700000001
1954.0,140.39452
1954.0,278.98865
1954.0,512.27728
1954.0,537.3280599999999
1954.0,145.68042
1954.0,14709.954
1954.0,1006.7433
1954.0,617.88544
1954.0,1756.7163
1954.0,6285.5337
1954.0,363.00003
1954.0,221.13666
1954.0,676.6469099999999
1954.0,379.52988
1954.0,997.7121599999999
1954.0,306.18817
1954.0,988.0269800000001
1954.0,698.16754
1954.0,2255.8105
1954.0,788.28937
1954.0,634.09271
1954.0,358.194
1954.0,3083.7209
1954.0,370.84747000000004
1954.0,481.36096
1954.0,3222.7909999999997
1954.0,4956.2534
1954.0,1437.0161
1954.0,330.45493
1954.0,318.86569
1954.0,343.96661
1954.0,5202.2158
1954.0,6641.2749
1954.0,798.63531
1954.0,166.08899
1954.0,193.42845
1954.0,226.35915
1954.0,1790.6783
1954.0,436.58966
1954.0,2677.3335
1954.0,4298.5776
1954.0,476.75235
1954.0,1951.8362
1954.0,7881.311
1954.0,538.1700400000001
1954.0,312.40656
1954.0,672.297
1954.0,474.65985
1954.0,755.89545
1954.0,849.43341
1954.0,3892.8743
1954.0,1063.1769
1954.0,212.96767999999997
1954.0,419.97919
1954.0,582.12854
1954.0,341.60721
1954.0,699.53204
1954.0,13094.438
1954.0,140.88145
1954.0,229.82089
1954.0,134.45705
1954.0,2129.2151
1954.0,819.98895
1954.0,422.819
1954.0,2186.8984
1954.0,1032.0066
1954.0,1047.9229
1954.0,239.92302
1954.0,296.10785
1954.0,2357.9839
1954.0,421.83120999999994
1954.0,509.4321
1954.0,900.4862699999999
1954.0,1423.5277
1954.0,1142.8905
1954.0,10590.515
1954.0,930.5686
