Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,Fire Name,start_date,year,county,cost_per_acre,structures_per_acre
CA-SHU-008470,Hat,WF,41,122,1900.0,Acres,2565927.0,0,HAT,2018-08-09,2018,Shasta,1350.487894736842,0.0
CA-SHU-006744,FLAT,WF,41,123,300.0,Acres,5350000.0,0,FLAT,2018-06-29,2018,Siskiyou,17833.333333333332,0.0
CA-HIA-000115,MILL CREEK 1,WF,41,124,3674.0,Acres,7559181.65,0,MILL CREEK 1,2018-08-16,2018,Humboldt,2057.480035383778,0.0
CA-TGU-000649,Dale,WF,40,122,856.0,Acres,578552.0,0,DALE,2018-07-09,2018,Tehama,675.8785046728972,0.0
CA-LNU-012354,NELSON,WF,38,122,2162.0,Acres,425000.0,1,NELSON,2018-08-11,2018,Contra Costa,196.577243293247,0.00046253469010175765
CA-MDF-001193,STONE,WF,41,121,39387.0,Acres,16900000.0,2,STONE,2018-08-15,2018,Shasta,429.0755833142915,5.077817554015284e-05
CA-MEU-008646,RANCH,WF,39,123,410203.0,Acres,201000000.0,0,RANCH,2018-07-27,2018,Lake,490.00129204320785,0.0
CA-BTU-010359,STONEY,WF,40,122,962.0,Acres,1245246.0,0,STONEY,2018-07-13,2018,Tehama,1294.4345114345115,0.0
CA-WNP-001084,CARR,WF,41,123,229651.0,Acres,158744844.0,1604,CARR,2018-07-23,2018,Siskiyou,691.2438613374206,0.006984511280159895
CA-SHF-001438,KERLIN,WF,41,124,1751.0,Acres,8379000.0,5,KERLIN,2018-09-04,2018,Humboldt,4785.265562535694,0.0028555111364934323
CA-TNF-001355,NORTH,WF,39,121,1120.0,Acres,11000000.0,0,NORTH,2018-09-03,2018,Placer,9821.42857142857,0.0
CA-LNF-003951,WHALEBACK,WF,41,121,18703.0,Acres,8900000.0,0,WHALEBACK,2018-07-27,2018,Shasta,475.85948778270864,0.0
CA-BTU-016737,CAMP,WF,40,121,153336.0,Acres,102843527.0,18804,CAMP,2018-11-08,2018,Plumas,670.7069898784368,0.12263264986695883
CA-LNU-014193,SNELL,WF,39,122,2490.0,Acres,6355703.0,0,SNELL,2018-09-08,2018,Colusa,2552.4911646586347,0.0
CA-LNU-010755,EIGHTY EIGHT,WF,39,122,822.0,Acres,610000.0,0,EIGHTY EIGHT,2018-07-18,2018,Colusa,742.0924574209246,0.0
CA-LNU-009502,COUNTY,WF,39,122,90288.0,Acres,46900854.0,30,COUNTY,2018-06-30,2018,Colusa,519.4583333333334,0.0003322700691121744
CA-SCU-005218,COUNTRY,WF,37,122,320.0,Acres,750000.0,1,COUNTRY,2018-07-22,2018,Santa Cruz,2343.75,0.003125
CA-LNF-005194,Wilson,WF,40,121,261.0,Acres,1128000.0,1,WILSON,2018-09-28,2018,Plumas,4321.83908045977,0.0038314176245210726
CA-NOD-002938,TUMBLEWEED,WF,40,120,646.0,Acres,350000.0,0,TUMBLEWEED,2018-06-15,2018,Lassen,541.795665634675,0.0
CA-PNF-001500,MURPHY,WF,40,121,117.0,Acres,1700000.0,0,MURPHY,2018-08-07,2018,Plumas,14529.91452991453,0.0
CA-LMU-003881,Roxie,WF,40,121,167.0,Acres,350000.0,0,ROXIE,2018-07-24,2018,Plumas,2095.808383233533,0.0
CA-MVU-011206,PASQUAL,WF,33,117,365.0,Acres,1190000.0,0,PASQUAL,2018-07-27,2018,San Diego,3260.27397260274,0.0
CA-SQF-002786,Mountaineer Fire,WF,36,119,1270.0,Acres,1050008.0,0,MOUNTAINEER FIRE,2018-10-13,2018,Tulare,826.7779527559055,0.0
CA-BEU-003992,Gulch,WF,36,121,650.0,Acres,75000.0,0,GULCH,2018-08-11,2018,Monterey,115.38461538461539,0.0
CA-BEU-002666,AIRLINE,WF,36,121,1314.0,Acres,4700000.0,0,AIRLINE,2018-06-04,2018,Monterey,3576.8645357686455,0.0
CA-TCU-010699,Tulloch,WF,38,121,573.0,Acres,330000.0,0,TULLOCH,2018-09-08,2018,San Joaquin,575.9162303664922,0.0
CA-STF-001702,DONNELL,WF,38,120,36450.0,Acres,33600000.0,135,DONNELL,2018-08-02,2018,Tuolumne,921.8106995884774,0.003703703703703704
CA-BDU-005618,MOFFAT,WF,37,118,1265.0,Acres,1500000.0,0,MOFFAT,2018-04-19,2018,Inyo,1185.7707509881423,0.0
CA-BEU-003069,SAN ARDO,WF,36,121,375.0,Acres,510000.0,0,SAN ARDO,2018-06-26,2018,Monterey,1360.0,0.0
CA-RRU-074609,EUCLID,WF,34,118,154.0,Acres,2000000.0,0,EUCLID,2018-06-12,2018,Los Angeles,12987.012987012988,0.0
CA-CNF-002664,HOLY,WF,34,118,23025.0,Acres,25719730.0,24,HOLY,2018-08-06,2018,Los Angeles,1117.0349619978285,0.001042345276872964
CA-MMU-008764,Nees,WF,37,121,1756.0,Acres,500000.0,0,NEES,2018-05-02,2018,Merced,284.7380410022779,0.0
CA-TCU-007477,WAVERLY,WF,38,121,11789.0,Acres,2500000.0,3,WAVERLY,2018-06-29,2018,San Joaquin,212.0620917804733,0.000254474510136568
