City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Los Banos,Merced,81.60 ,88.82 ,84.09 ,78.06 ,81.58 ,85.40 ,67.17 ,69.21 ,65.41 ,68.49 ,58.95 ,63.58 ,58.71 ,64.34 ,62.17 ,68.34 ,68.98 ,76.96 ,97.16 ,107.06 ,114.25 
Merced,Merced,122.39 ,134.66 ,138.32 ,146.10 ,144.32 ,148.66 ,124.59 ,127.02 ,112.98 ,105.90 ,88.97 ,79.70 ,85.08 ,89.38 ,91.31 ,94.97 ,95.38 ,105.78 ,134.59 ,137.89 ,145.03 
Modoc County unincorporated,MODOC,27.70 ,35.05 ,34.00 ,26.57 ,27.55 ,20.98 ,30.12 ,22.98 ,26.29 ,25.60 ,27.41 ,23.11 ,20.44 ,25.40 ,27.18 ,28.34 ,28.52 ,33.35 ,37.57 ,41.98 ,40.50 
Alturas,Modoc,158.13 ,136.89 ,209.59 ,185.52 ,241.00 ,152.00 ,167.59 ,170.05 ,175.18 ,183.95 ,176.52 ,156.73 ,150.54 ,189.55 ,198.42 ,161.69 ,173.07 ,178.31 ,247.55 ,221.41 ,228.71 
Mono County unincorporated,MONO,61.24 ,62.95 ,73.20 ,59.27 ,74.66 ,67.70 ,58.67 ,59.74 ,66.98 ,57.93 ,61.22 ,52.60 ,55.47 ,54.06 ,69.17 ,82.98 ,59.51 ,82.75 ,102.94 ,107.77 ,117.82 
Mammoth Lakes,Mono,249.02 ,294.57 ,229.80 ,238.36 ,246.72 ,260.06 ,222.82 ,237.62 ,231.98 ,223.88 ,192.34 ,172.35 ,157.56 ,172.08 ,168.55 ,171.18 ,171.70 ,208.39 ,279.50 ,288.79 ,330.63 
Monterey County unincorporated,MONTEREY,32.57 ,66.92 ,72.56 ,70.11 ,63.42 ,62.25 ,57.52 ,60.55 ,60.60 ,62.75 ,56.16 ,53.71 ,64.52 ,62.74 ,65.37 ,69.49 ,90.02 ,81.18 ,98.04 ,107.51 ,122.91 
Carmel,Monterey,404.02 ,414.51 ,586.13 ,517.17 ,459.98 ,458.44 ,425.25 ,398.83 ,418.50 ,427.26 ,349.96 ,310.07 ,364.03 ,399.46 ,404.06 ,447.56 ,441.52 ,512.34 ,635.32 ,684.53 ,647.77 
Del Rey Oaks,Monterey,102.89 ,88.54 ,106.73 ,118.31 ,126.55 ,121.13 ,116.27 ,119.28 ,116.73 ,131.11 ,143.83 ,123.79 ,142.35 ,148.85 ,141.53 ,138.45 ,141.84 ,186.21 ,240.32 ,274.20 ,252.79 
Gonzales,Monterey,32.39 ,28.78 ,32.22 ,34.84 ,31.02 ,41.05 ,38.17 ,36.49 ,33.88 ,38.64 ,41.20 ,40.16 ,50.95 ,54.37 ,57.68 ,55.52 ,67.15 ,80.08 ,123.24 ,115.45 ,118.79 
Greenfield,Monterey,46.05 ,45.81 ,41.97 ,39.49 ,41.29 ,43.40 ,36.59 ,34.09 ,29.29 ,31.65 ,30.91 ,30.46 ,37.32 ,44.09 ,32.05 ,40.06 ,45.51 ,46.32 ,58.30 ,57.54 ,65.25 
King City,Monterey,84.57 ,88.33 ,107.64 ,97.81 ,95.89 ,85.73 ,76.33 ,74.39 ,79.41 ,77.13 ,66.68 ,61.27 ,63.75 ,71.32 ,72.54 ,74.03 ,67.26 ,63.86 ,81.87 ,81.04 ,97.21 
Marina,Monterey,48.61 ,49.10 ,57.01 ,49.31 ,52.90 ,54.72 ,49.15 ,51.51 ,55.28 ,61.88 ,69.61 ,74.79 ,74.89 ,74.63 ,75.19 ,76.73 ,71.40 ,82.00 ,104.35 ,112.36 ,120.61 
Monterey,Monterey,180.09 ,201.94 ,247.80 ,228.23 ,211.77 ,210.95 ,181.84 ,176.96 ,182.37 ,189.39 ,179.17 ,167.60 ,188.68 ,191.48 ,211.91 ,210.05 ,224.92 ,248.10 ,294.42 ,300.64 ,313.86 
Pacific Grove,Monterey,90.57 ,91.63 ,112.51 ,101.25 ,105.72 ,98.22 ,80.88 ,78.92 ,79.25 ,74.08 ,67.16 ,62.92 ,66.43 ,67.00 ,70.48 ,71.85 ,78.81 ,83.05 ,108.10 ,107.22 ,106.68 
Salinas,Monterey,121.58 ,135.04 ,139.36 ,142.93 ,137.92 ,135.89 ,121.23 ,120.48 ,122.51 ,116.79 ,104.18 ,93.18 ,100.10 ,109.90 ,113.39 ,115.76 ,117.50 ,136.00 ,173.85 ,175.92 ,191.86 
Sand City,Monterey,"10,715.86 ","11,712.98 ","9,183.45 ","9,702.27 ","9,155.48 ","8,229.96 ","7,499.61 ","7,101.32 ","6,951.82 ","6,681.79 ","5,668.14 ","4,913.34 ","4,714.71 ","5,032.83 ","5,181.85 ","5,081.25 ","4,937.51 ","5,527.70 ","6,776.83 ","6,778.97 ","7,035.10 "
Seaside,Monterey,121.82 ,145.61 ,145.46 ,166.33 ,150.65 ,149.10 ,121.21 ,128.97 ,124.20 ,116.45 ,100.95 ,89.29 ,102.11 ,104.19 ,116.49 ,127.74 ,135.45 ,159.33 ,216.58 ,218.00 ,249.78 
Soledad,Monterey,11.84 ,14.91 ,16.98 ,17.95 ,15.81 ,13.74 ,12.37 ,13.80 ,13.90 ,14.33 ,13.92 ,13.03 ,15.65 ,19.27 ,20.16 ,21.78 ,21.62 ,22.99 ,29.51 ,35.07 ,38.72 
Napa County unincorporated,NAPA,129.69 ,175.89 ,171.48 ,167.29 ,215.57 ,199.97 ,152.81 ,176.93 ,180.83 ,188.37 ,172.04 ,168.65 ,180.96 ,211.12 ,220.76 ,245.42 ,263.14 ,315.42 ,388.35 ,426.83 ,470.66 
American Canyon,Napa,111.94 ,129.72 ,125.58 ,113.62 ,121.03 ,90.87 ,81.11 ,86.48 ,79.48 ,93.28 ,95.67 ,84.49 ,75.68 ,77.93 ,84.19 ,82.23 ,85.75 ,99.39 ,111.01 ,128.88 ,130.26 
Calistoga,Napa,92.90 ,101.08 ,116.90 ,130.91 ,126.95 ,124.78 ,101.99 ,97.69 ,104.20 ,117.46 ,113.24 ,95.67 ,110.62 ,132.83 ,131.39 ,134.32 ,143.86 ,186.12 ,204.20 ,205.12 ,211.96 
Napa,Napa,113.07 ,125.77 ,141.46 ,139.41 ,130.53 ,137.90 ,115.64 ,119.60 ,119.62 ,122.14 ,114.90 ,105.61 ,110.37 ,119.92 ,125.81 ,133.93 ,140.50 ,154.55 ,199.73 ,206.29 ,225.45 
Saint Helena,Napa,262.01 ,289.66 ,344.09 ,343.71 ,349.82 ,353.87 ,298.32 ,283.70 ,316.23 ,336.26 ,295.76 ,256.71 ,258.45 ,276.48 ,297.59 ,318.62 ,328.28 ,373.78 ,470.07 ,461.05 ,521.78 
Yountville,Napa,90.03 ,114.60 ,148.07 ,141.43 ,129.45 ,136.62 ,106.25 ,127.81 ,143.39 ,151.35 ,159.76 ,169.04 ,199.36 ,234.65 ,263.83 ,311.75 ,311.05 ,372.18 ,444.05 ,456.97 ,473.84 
Nevada County unincorporated,NEVADA,43.01 ,50.49 ,53.60 ,54.27 ,48.61 ,50.18 ,37.56 ,33.23 ,32.08 ,24.96 ,24.45 ,20.43 ,21.49 ,22.91 ,24.45 ,26.03 ,26.58 ,30.46 ,39.86 ,43.80 ,44.45 
Grass Valley,Nevada,269.75 ,307.78 ,277.21 ,289.49 ,319.90 ,327.26 ,288.21 ,336.84 ,352.68 ,354.47 ,310.64 ,278.11 ,285.27 ,306.49 ,295.22 ,303.84 ,312.10 ,363.98 ,456.35 ,475.05 ,502.21 
Nevada City,Nevada,250.21 ,377.06 ,342.49 ,311.56 ,326.73 ,393.39 ,347.62 ,297.45 ,312.97 ,255.95 ,243.56 ,177.40 ,196.20 ,210.87 ,203.96 ,219.67 ,218.24 ,219.20 ,295.13 ,323.16 ,346.17 
Truckee,Nevada,149.10 ,166.74 ,170.94 ,159.49 ,159.32 ,174.19 ,142.66 ,147.04 ,167.76 ,162.36 ,134.88 ,121.73 ,129.82 ,130.86 ,141.15 ,154.03 ,168.79 ,193.69 ,249.11 ,259.59 ,270.07 
Orange County unincorporated,ORANGE,49.52 ,65.70 ,65.99 ,58.52 ,52.49 ,52.83 ,41.25 ,43.46 ,48.76 ,48.68 ,47.25 ,39.99 ,45.62 ,48.33 ,48.94 ,50.10 ,43.13 ,48.00 ,61.97 ,59.64 ,65.70 
Aliso Viejo,Orange,,,,41.87 ,71.09 ,70.52 ,65.95 ,70.49 ,74.71 ,69.13 ,64.66 ,65.93 ,61.13 ,65.99 ,69.86 ,70.85 ,71.20 ,71.20 ,121.21 ,124.06 ,121.26 
Anaheim,Orange,136.98 ,143.19 ,147.77 ,153.27 ,154.69 ,156.84 ,137.86 ,145.61 ,139.17 ,137.28 ,122.89 ,104.84 ,118.22 ,126.65 ,132.50 ,144.41 ,148.64 ,176.95 ,220.86 ,221.56 ,231.68 
Brea,Orange,355.98 ,375.27 ,420.22 ,385.30 ,367.31 ,382.21 ,352.21 ,371.62 ,348.40 ,344.87 ,308.51 ,278.16 ,316.31 ,334.03 ,325.99 ,345.20 ,333.25 ,373.73 ,454.49 ,436.04 ,492.01 
Buena Park,Orange,142.73 ,156.55 ,177.42 ,171.34 ,169.99 ,182.68 ,155.01 ,161.93 ,209.55 ,232.19 ,193.21 ,169.10 ,198.58 ,212.85 ,225.76 ,247.46 ,204.83 ,196.72 ,16.74 ,16.36 ,298.64 
Costa Mesa,Orange,282.71 ,304.53 ,324.41 ,316.63 ,316.23 ,352.37 ,302.16 ,305.27 ,301.27 ,298.82 ,252.30 ,232.11 ,269.84 ,283.95 ,306.58 ,318.93 ,337.13 ,385.90 ,487.58 ,478.56 ,543.21 
Cypress,Orange,147.28 ,177.41 ,205.30 ,219.36 ,199.85 ,213.86 ,174.54 ,202.51 ,205.04 ,196.93 ,176.66 ,156.90 ,184.80 ,167.67 ,173.83 ,180.46 ,177.49 ,206.36 ,225.80 ,230.94 ,244.95 
Dana Point,Orange,79.90 ,93.17 ,90.84 ,98.90 ,102.60 ,108.22 ,89.27 ,92.35 ,100.92 ,99.51 ,85.71 ,77.59 ,89.93 ,104.55 ,101.30 ,111.16 ,120.37 ,129.25 ,158.47 ,160.28 ,164.41 
Fountain Valley,Orange,154.26 ,161.17 ,174.17 ,164.06 ,159.13 ,169.36 ,147.78 ,147.87 ,151.72 ,145.51 ,127.33 ,118.92 ,132.23 ,143.73 ,143.12 ,144.79 ,146.76 ,166.72 ,215.47 ,210.67 ,224.88 
Fullerton,Orange,110.80 ,119.79 ,129.54 ,114.72 ,118.93 ,120.79 ,101.24 ,103.93 ,100.28 ,102.22 ,94.16 ,84.52 ,89.40 ,99.71 ,99.83 ,104.36 ,103.41 ,117.12 ,148.62 ,147.56 ,159.09 
Garden Grove,Orange,90.53 ,98.10 ,100.89 ,103.16 ,104.69 ,107.39 ,90.27 ,87.50 ,86.28 ,84.06 ,71.02 ,63.58 ,73.38 ,78.95 ,84.84 ,84.17 ,82.10 ,97.50 ,122.30 ,118.28 ,135.83 
Huntington Beach,Orange,18.39 ,118.67 ,136.39 ,119.05 ,120.28 ,125.08 ,106.52 ,104.85 ,108.17 ,108.91 ,99.53 ,92.57 ,107.35 ,114.58 ,131.41 ,127.39 ,133.58 ,146.90 ,188.17 ,193.21 ,202.65 
Irvine,Orange,277.97 ,293.84 ,307.32 ,264.67 ,254.23 ,279.24 ,222.75 ,204.02 ,203.41 ,195.92 ,164.87 ,142.36 ,155.07 ,163.04 ,162.13 ,169.30 ,171.97 ,197.65 ,231.25 ,229.90 ,239.59 
La Habra,Orange,87.90 ,102.78 ,106.59 ,108.48 ,125.47 ,131.32 ,110.88 ,115.01 ,118.73 ,121.25 ,106.30 ,93.59 ,99.22 ,105.32 ,110.98 ,112.47 ,116.71 ,133.42 ,162.35 ,164.60 ,173.90 
La Palma,Orange,134.26 ,152.68 ,188.24 ,188.35 ,183.56 ,265.00 ,210.85 ,176.07 ,300.78 ,205.46 ,210.68 ,131.23 ,168.34 ,269.13 ,213.67 ,138.41 ,169.26 ,136.56 ,182.67 ,198.46 ,164.28 
Laguna Beach,Orange,114.49 ,122.22 ,142.25 ,133.33 ,141.62 ,150.73 ,128.87 ,131.40 ,130.24 ,136.23 ,115.30 ,105.23 ,123.91 ,137.02 ,143.03 ,150.73 ,161.75 ,178.75 ,233.81 ,237.82 ,233.46 
Laguna Hills,Orange,228.77 ,234.94 ,210.81 ,200.15 ,205.03 ,204.34 ,187.25 ,167.41 ,151.18 ,145.48 ,128.56 ,116.46 ,126.88 ,126.48 ,127.66 ,133.33 ,135.20 ,151.21 ,179.83 ,182.13 ,187.45 
Laguna Niguel,Orange,99.50 ,118.74 ,121.04 ,128.38 ,143.71 ,163.41 ,131.43 ,131.13 ,124.17 ,126.05 ,117.99 ,104.60 ,119.24 ,123.72 ,127.86 ,129.77 ,132.68 ,149.90 ,180.37 ,174.12 ,177.48 
Laguna Woods,Orange,,50.69 ,47.78 ,54.23 ,56.92 ,50.03 ,42.22 ,40.44 ,39.12 ,35.73 ,33.17 ,32.15 ,38.19 ,39.74 ,38.79 ,41.29 ,41.14 ,46.20 ,53.46 ,55.41 ,57.69 
Lake Forest,Orange,88.26 ,133.08 ,134.70 ,138.35 ,138.89 ,156.89 ,137.50 ,141.22 ,145.19 ,142.05 ,120.84 ,106.28 ,120.67 ,125.97 ,126.39 ,124.44 ,129.44 ,142.24 ,182.64 ,204.99 ,185.88 
Los Alamitos,Orange,174.57 ,220.26 ,241.84 ,205.11 ,193.80 ,211.63 ,194.75 ,176.69 ,180.93 ,181.12 ,154.26 ,137.17 ,145.17 ,168.07 ,167.15 ,175.65 ,185.98 ,208.03 ,267.62 ,266.94 ,303.12 
Mission Viejo,Orange,104.97 ,120.22 ,143.19 ,138.13 ,146.03 ,157.00 ,138.95 ,138.76 ,133.75 ,125.12 ,108.89 ,101.46 ,117.47 ,122.70 ,127.74 ,131.14 ,134.09 ,146.58 ,184.94 ,175.39 ,200.03 
Newport Beach,Orange,226.69 ,252.46 ,280.55 ,264.70 ,250.53 ,270.91 ,235.69 ,250.42 ,259.69 ,265.98 ,221.96 ,201.39 ,219.13 ,235.59 ,249.32 ,266.47 ,294.82 ,322.61 ,415.01 ,401.24 ,449.93 
Orange,Orange,182.04 ,204.65 ,203.22 ,196.91 ,205.54 ,217.17 ,186.98 ,191.21 ,191.72 ,186.94 ,167.87 ,143.37 ,163.73 ,180.89 ,183.67 ,197.73 ,215.85 ,229.43 ,298.25 ,294.18 ,324.35 
Placentia,Orange,86.93 ,91.29 ,102.33 ,102.93 ,103.47 ,110.51 ,85.16 ,87.14 ,82.45 ,75.97 ,69.47 ,59.23 ,72.27 ,76.93 ,74.68 ,80.19 ,84.14 ,101.39 ,126.23 ,124.38 ,123.60 
Rancho Santa Margarita,Orange,,,75.72 ,89.98 ,95.29 ,112.57 ,100.27 ,97.69 ,98.42 ,94.47 ,79.19 ,71.60 ,78.99 ,82.93 ,89.42 ,90.52 ,91.95 ,108.06 ,133.80 ,133.62 ,144.13 
San Clemente,Orange,69.79 ,82.81 ,88.23 ,86.78 ,84.37 ,91.73 ,76.38 ,74.79 ,78.83 ,84.52 ,62.14 ,64.59 ,75.50 ,76.93 ,83.97 ,85.98 ,88.22 ,102.83 ,144.08 ,143.24 ,149.13 
San Juan Capistrano,Orange,157.19 ,181.28 ,175.81 ,196.33 ,215.85 ,221.31 ,165.29 ,178.01 ,170.51 ,157.31 ,128.43 ,112.38 ,122.11 ,141.21 ,155.72 ,159.21 ,159.86 ,178.62 ,225.59 ,227.21 ,243.93 
Santa Ana,Orange,120.32 ,125.86 ,122.55 ,112.67 ,110.93 ,115.34 ,96.18 ,95.49 ,96.66 ,92.08 ,82.36 ,71.25 ,82.30 ,84.50 ,89.13 ,92.75 ,96.21 ,111.12 ,142.06 ,138.29 ,151.38 
Seal Beach,Orange,52.19 ,62.05 ,83.48 ,91.63 ,97.87 ,118.33 ,121.44 ,98.15 ,111.91 ,128.86 ,151.84 ,119.16 ,134.67 ,154.15 ,155.60 ,128.49 ,121.67 ,123.18 ,157.24 ,155.84 ,165.67 
Stanton,Orange,88.40 ,89.47 ,90.15 ,83.63 ,86.94 ,87.09 ,76.68 ,84.12 ,78.28 ,65.92 ,63.33 ,54.94 ,65.67 ,67.06 ,71.86 ,73.45 ,76.97 ,82.42 ,103.99 ,106.79 ,107.68 
Tustin,Orange,238.35 ,248.01 ,264.04 ,243.26 ,254.95 ,246.34 ,209.20 ,203.69 ,207.82 ,207.45 ,192.28 ,164.24 ,181.47 ,191.17 ,202.69 ,203.87 ,207.39 ,230.93 ,296.77 ,296.62 ,317.97 
Villa Park,Orange,20.92 ,25.77 ,32.62 ,31.43 ,25.09 ,24.74 ,21.98 ,19.94 ,20.18 ,22.05 ,18.07 ,10.89 ,26.02 ,20.64 ,22.19 ,34.38 ,26.11 ,32.05 ,39.55 ,40.66 ,38.00 
Westminster,Orange,139.57 ,153.50 ,160.07 ,161.98 ,164.12 ,171.12 ,141.69 ,138.40 ,132.95 ,128.78 ,109.50 ,99.45 ,106.07 ,107.21 ,113.30 ,120.96 ,123.25 ,141.61 ,181.94 ,175.58 ,186.51 
Yorba Linda,Orange,70.55 ,79.53 ,94.62 ,86.97 ,94.33 ,94.52 ,76.10 ,69.46 ,67.04 ,71.87 ,59.91 ,56.69 ,61.69 ,62.93 ,63.88 ,69.06 ,68.05 ,85.59 ,116.18 ,104.21 ,110.12 
Placer County unincorporated,PLACER,94.96 ,100.97 ,111.03 ,115.04 ,115.76 ,118.50 ,96.79 ,100.26 ,103.75 ,98.95 ,82.10 ,75.86 ,79.26 ,83.06 ,85.70 ,90.30 ,93.08 ,106.79 ,136.79 ,146.41 ,155.87 
Auburn,Placer,197.08 ,227.73 ,231.56 ,199.69 ,228.29 ,219.03 ,215.46 ,267.65 ,262.22 ,249.06 ,215.20 ,174.80 ,209.62 ,241.05 ,271.44 ,270.63 ,316.67 ,382.43 ,441.40 ,465.14 ,550.70 
Colfax,Placer,281.06 ,317.47 ,317.11 ,365.58 ,330.12 ,336.81 ,307.05 ,310.78 ,304.44 ,250.32 ,226.77 ,191.05 ,203.88 ,211.50 ,254.20 ,342.99 ,318.77 ,385.50 ,524.79 ,594.60 ,679.37 
Lincoln,Placer,69.64 ,76.03 ,67.48 ,58.52 ,51.75 ,52.12 ,47.07 ,45.61 ,46.18 ,50.25 ,46.44 ,43.31 ,44.04 ,47.03 ,46.03 ,49.56 ,51.70 ,53.79 ,69.76 ,73.04 ,80.66 
Loomis,Placer,88.71 ,159.93 ,156.05 ,139.51 ,152.50 ,152.76 ,149.85 ,159.06 ,126.96 ,125.54 ,103.48 ,81.22 ,90.56 ,92.72 ,78.73 ,126.07 ,114.82 ,125.89 ,166.64 ,176.89 ,182.52 
Rocklin,Placer,91.96 ,109.37 ,118.62 ,112.53 ,119.33 ,125.43 ,101.77 ,105.14 ,112.76 ,106.26 ,87.38 ,78.11 ,80.69 ,91.22 ,98.35 ,98.03 ,115.29 ,153.73 ,191.57 ,201.42 ,222.49 
Roseville,Placer,268.81 ,319.48 ,346.93 ,362.38 ,375.48 ,389.60 ,315.03 ,320.26 ,308.92 ,289.34 ,236.10 ,223.38 ,222.10 ,240.73 ,250.33 ,271.04 ,277.60 ,308.07 ,381.61 ,379.20 ,393.86 
Plumas County unincorporated,PLUMAS,77.08 ,84.65 ,96.03 ,93.10 ,99.35 ,100.10 ,87.06 ,89.55 ,89.33 ,85.95 ,76.06 ,66.23 ,67.45 ,78.56 ,77.57 ,82.68 ,80.74 ,91.96 ,124.10 ,139.94 ,132.18 
Portola,Plumas,66.61 ,82.56 ,88.17 ,80.25 ,88.77 ,91.69 ,82.74 ,85.26 ,95.03 ,89.72 ,78.72 ,72.75 ,72.41 ,71.22 ,77.81 ,78.35 ,76.43 ,90.52 ,122.06 ,138.59 ,135.13 
Riverside County unincorporated,RIVERSIDE,42.05 ,44.06 ,47.48 ,46.82 ,49.03 ,54.56 ,51.07 ,57.28 ,53.47 ,54.95 ,55.20 ,40.52 ,46.04 ,53.09 ,68.87 ,66.16 ,70.01 ,62.73 ,75.03 ,72.23 ,84.58 
Banning,Riverside,68.94 ,79.43 ,85.85 ,79.94 ,77.47 ,78.43 ,67.23 ,75.96 ,73.22 ,64.42 ,51.69 ,43.58 ,40.86 ,45.33 ,45.90 ,48.37 ,48.14 ,55.70 ,71.08 ,83.10 ,94.04 
Beaumont,Riverside,80.93 ,82.74 ,89.44 ,83.53 ,74.13 ,79.56 ,64.53 ,65.03 ,76.51 ,68.89 ,68.20 ,66.62 ,65.82 ,68.47 ,68.30 ,69.69 ,70.08 ,81.78 ,99.89 ,100.85 ,109.88 
Blythe,Riverside,60.65 ,62.78 ,69.72 ,71.83 ,84.48 ,69.94 ,59.84 ,64.49 ,65.73 ,66.21 ,58.78 ,50.72 ,57.25 ,60.60 ,75.07 ,71.98 ,80.09 ,76.04 ,87.79 ,86.90 ,80.40 
Calimesa,Riverside,29.02 ,37.59 ,45.21 ,40.58 ,49.69 ,53.89 ,49.24 ,52.94 ,58.51 ,57.83 ,54.48 ,54.62 ,60.25 ,62.31 ,63.15 ,65.38 ,65.65 ,71.44 ,84.28 ,94.96 ,103.53 
Canyon Lake,Riverside,7.44 ,8.37 ,13.19 ,12.34 ,10.94 ,12.26 ,16.10 ,12.40 ,5.33 ,8.58 ,8.85 ,10.10 ,10.06 ,11.16 ,13.42 ,15.16 ,12.56 ,17.83 ,21.68 ,26.01 ,39.36 
Cathedral City,Riverside,160.47 ,187.07 ,170.33 ,172.30 ,182.16 ,189.96 ,155.50 ,154.40 ,141.31 ,119.12 ,93.95 ,84.41 ,94.00 ,99.30 ,104.47 ,113.38 ,118.25 ,137.26 ,162.18 ,163.45 ,185.74 
Coachella,Riverside,51.13 ,56.46 ,67.49 ,69.23 ,68.79 ,77.98 ,62.92 ,67.72 ,67.22 ,65.48 ,58.05 ,45.89 ,54.88 ,58.38 ,57.60 ,58.26 ,60.78 ,62.99 ,74.47 ,77.31 ,80.62 
Corona,Riverside,125.58 ,142.69 ,160.35 ,169.84 ,179.65 ,200.11 ,180.95 ,205.64 ,204.95 ,190.22 ,157.50 ,129.30 ,135.05 ,150.11 ,152.67 ,163.54 ,168.36 ,188.07 ,226.19 ,257.02 ,269.39 
Desert Hot Springs,Riverside,39.36 ,41.82 ,42.14 ,44.23 ,43.33 ,46.87 ,39.19 ,36.16 ,34.16 ,29.25 ,27.44 ,24.64 ,29.06 ,36.15 ,41.10 ,38.94 ,37.21 ,40.39 ,47.98 ,53.84 ,63.74 
Eastvale,Riverside,,,,,,,,,,,,,11.40 ,51.69 ,79.23 ,80.33 ,83.34 ,95.26 ,119.58 ,138.12 ,141.92 
Hemet,Riverside,93.80 ,110.55 ,124.33 ,122.30 ,130.38 ,139.70 ,115.42 ,125.97 ,119.31 ,105.60 ,84.54 ,78.38 ,82.12 ,84.02 ,89.51 ,97.86 ,101.13 ,113.31 ,141.80 ,140.15 ,143.42 
Indian Wells,Riverside,214.79 ,188.98 ,179.92 ,152.93 ,150.01 ,172.08 ,147.97 ,169.63 ,179.02 ,151.29 ,139.48 ,121.62 ,133.37 ,145.93 ,133.97 ,149.20 ,164.56 ,166.81 ,238.69 ,185.79 ,279.84 
Indio,Riverside,88.18 ,103.32 ,108.00 ,111.69 ,113.11 ,116.89 ,102.56 ,95.88 ,91.13 ,74.15 ,64.49 ,54.48 ,64.72 ,70.78 ,76.10 ,83.53 ,89.27 ,102.86 ,129.24 ,127.42 ,142.79 
Jurupa Valley,Riverside,,,,,,,,,,,,,,,63.64 ,69.27 ,69.22 ,81.62 ,99.01 ,103.84 ,123.01 
La Quinta,Riverside,120.63 ,115.74 ,143.10 ,134.68 ,142.26 ,158.20 ,149.87 ,156.01 ,158.75 ,156.01 ,129.02 ,116.72 ,140.37 ,151.99 ,152.46 ,155.92 ,154.75 ,169.48 ,210.96 ,216.33 ,230.99 
Lake Elsinore,Riverside,114.77 ,123.18 ,139.98 ,144.82 ,147.05 ,142.44 ,112.92 ,119.23 ,123.75 ,117.63 ,98.91 ,92.63 ,95.54 ,101.65 ,97.70 ,100.07 ,105.01 ,119.62 ,149.43 ,151.63 ,164.36 
Menifee,Riverside,,,,,,,,,,,11.70 ,41.61 ,40.73 ,44.17 ,45.44 ,47.70 ,52.17 ,61.93 ,80.62 ,84.24 ,93.80 
Moreno Valley,Riverside,52.46 ,57.68 ,60.60 ,63.49 ,66.34 ,76.09 ,59.04 ,59.24 ,60.39 ,55.77 ,48.66 ,44.87 ,47.09 ,50.59 ,56.57 ,57.40 ,61.19 ,71.49 ,89.11 ,92.38 ,102.04 
Murrieta,Riverside,78.64 ,84.66 ,88.75 ,102.92 ,110.36 ,106.98 ,95.83 ,95.77 ,96.84 ,90.38 ,75.81 ,72.35 ,73.10 ,78.23 ,82.96 ,93.31 ,93.05 ,108.08 ,139.26 ,153.57 ,158.52 
Norco,Riverside,131.57 ,156.81 ,182.00 ,193.31 ,197.50 ,219.89 ,166.13 ,176.90 ,163.65 ,151.37 ,120.99 ,98.48 ,111.93 ,120.77 ,133.46 ,147.31 ,162.89 ,188.30 ,243.50 ,251.36 ,284.86 
Palm Desert,Riverside,295.06 ,341.61 ,321.97 ,307.92 ,306.14 ,334.03 ,258.70 ,265.43 ,270.20 ,255.53 ,218.25 ,191.49 ,223.60 ,239.18 ,248.22 ,253.00 ,261.53 ,293.64 ,354.86 ,352.33 ,386.03 
Palm Springs,Riverside,128.68 ,145.62 ,156.47 ,156.47 ,159.54 ,174.96 ,144.54 ,159.50 ,152.61 ,150.13 ,136.67 ,134.11 ,155.56 ,169.13 ,175.39 ,176.42 ,188.26 ,208.19 ,261.17 ,277.52 ,308.75 
Perris,Riverside,92.39 ,94.36 ,100.68 ,111.05 ,111.38 ,119.70 ,93.68 ,105.66 ,92.64 ,85.39 ,85.32 ,72.67 ,62.97 ,69.20 ,74.68 ,85.41 ,85.22 ,105.43 ,139.62 ,248.97 ,275.93 
Rancho Mirage,Riverside,237.07 ,298.79 ,249.07 ,232.21 ,266.65 ,295.40 ,211.54 ,268.89 ,245.22 ,239.32 ,201.10 ,169.86 ,171.74 ,181.39 ,169.65 ,189.16 ,197.09 ,219.89 ,281.63 ,289.06 ,338.04 
Riverside,Riverside,116.50 ,129.61 ,137.71 ,142.82 ,149.30 ,164.36 ,145.07 ,145.62 ,144.43 ,126.79 ,106.06 ,94.22 ,102.59 ,110.16 ,114.80 ,125.02 ,135.13 ,155.64 ,192.47 ,188.21 ,205.52 
San Jacinto,Riverside,28.55 ,30.62 ,34.49 ,33.42 ,34.46 ,41.07 ,34.06 ,34.14 ,32.47 ,44.31 ,43.08 ,39.05 ,34.97 ,36.93 ,37.53 ,37.76 ,38.70 ,47.02 ,59.18 ,59.69 ,69.22 
Temecula,Riverside,213.74 ,249.76 ,259.10 ,257.44 ,284.74 ,321.03 ,262.30 ,240.83 ,224.74 ,205.97 ,175.79 ,162.17 ,183.95 ,191.23 ,199.95 ,202.62 ,212.77 ,254.78 ,326.50 ,321.67 ,336.28 
Wildomar,Riverside,,,,,,,,,,,14.06 ,25.00 ,27.74 ,31.15 ,30.71 ,31.35 ,33.48 ,37.66 ,46.97 ,47.19 ,62.66 
Sacramento County unincorporated,SACRAMENTO,113.03 ,121.80 ,139.02 ,132.94 ,131.82 ,142.16 ,111.46 ,112.43 ,107.07 ,102.30 ,91.96 ,80.47 ,80.12 ,85.11 ,91.41 ,93.86 ,96.78 ,108.70 ,140.28 ,146.51 ,158.64 
