City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Yolo County,YOLO,125.16 ,131.68 ,145.54 ,133.62 ,131.83 ,139.62 ,122.49 ,124.97 ,121.34 ,125.01 ,121.91 ,106.70 ,111.41 ,119.66 ,128.68 ,134.43 ,138.45 ,151.44 ,181.76 ,190.67 ,214.24 
Yuba County,YUBA,53.92 ,62.36 ,65.22 ,58.35 ,66.70 ,70.43 ,63.72 ,63.05 ,60.85 ,55.44 ,52.00 ,43.17 ,46.38 ,50.61 ,50.82 ,49.97 ,50.55 ,54.55 ,71.79 ,75.32 ,86.36 
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
